Cust_ID,Company ,Plan,Monthly_Rev,JoinDate,Status 
C-9017,Corp_1,Enterprise,$499.00,29-Dec-2023,Churned,,
C-3365,Corp_2,Pro,29,2023/11/12,Paused,,
C-5202,Corp_3,Pro,$29.00,08-Aug-2023,Churned,,
C-1957,Corp_4,Basic,29,20-Sep-2024,Paused,,
C-4077,Corp_5,Enterprise,$499.00,2023/09/07,Active,,
C-7470,Corp_6,  Pro  ,$29.00,2024/03/19,Active,,
C-7933,Corp_7,  Pro  ,499,2023/10/22,Active,,
C-5638,Corp_8,enterprise,499,21-May-2023,  Active ,,
C-1046,Corp_9,Pro,29,2024/07/26,Active,,
C-8326,Corp_10,  Pro  ,499 USD,2024/06/25,Paused,,
C-6042,Corp_11,enterprise,29,13-Aug-2024,Churned,,
C-6042,Corp_11,enterprise,29,13-Aug-2024,Churned,,
C-2452,Corp_12,  Pro  ,$99.00,2023/03/24,Paused,,
C-6923,Corp_13,Enterprise,$29.00,2023/11/27,Active,,
C-9563,Corp_14,enterprise,$29.00,2023/04/01,  Active ,,
C-6785,Corp_15,Pro,29,2024/09/18,Active,,
C-4748,Corp_16,Enterprise,499,2024/02/16,Churned,,
,Corp_17,Enterprise,29,10-Mar-2023,Churned,,
C-4670,Corp_18,Enterprise,99,2024/03/10,Churned,,
C-7116,Corp_19,  Pro  ,99,2024/10/26,  Active ,,
C-3049,Corp_20,Basic,99,11-May-2023,Churned,,
C-2147,Corp_21,enterprise,$499.00,2023/02/27,Paused,,
C-9449,Corp_22,Pro,$499.00,09-May-2024,Churned,,
C-1411,Corp_23,Pro,99,19-Aug-2023,Active,,
C-8820,Corp_24,  Pro  ,$499.00,21-Feb-2024,  Active ,,
C-4062,Corp_25,Basic,499,2023/01/06,Paused,,
C-5610,Corp_26,Pro,$499.00,2023/09/10,Paused,,
C-4270,Corp_27,Basic,99 USD,2024/11/01,  Active ,,
C-9246,Corp_28,Pro,99,26-May-2024,Paused,,
C-3667,Corp_29,Basic,99,30-Jul-2023,  Active ,,
C-5902,Corp_30,Basic,99,2023/04/17,  Active ,,
C-2245,Corp_31,  Pro  ,99,2023/09/24,Active,,
C-1225,Corp_32,Basic,29 USD,14-Mar-2024,Churned,,
C-9978,Corp_33,Pro,499,2024/10/17,Active,,
C-7481,Corp_34,enterprise,29,2024/01/10,  Active ,,
C-2019,Corp_35,Basic,499,2024/04/14,  Active ,,
C-5877,Corp_36,Enterprise,$499.00,06-Mar-2024,Churned,,
C-7438,Corp_37,  Pro  ,99 USD,2023/07/27,  Active ,,
C-3281,Corp_38,Basic,499 USD,2024/06/22,Churned,,
C-8852,Corp_39,enterprise,29,2024/07/28,Churned,,
C-5189,Corp_40,enterprise,99,2024/01/20,Churned,,
,Corp_41,  Pro  ,99,08-Oct-2023,  Active ,,
,Corp_41,  Pro  ,99,08-Oct-2023,  Active ,,
C-1548,Corp_42,  Pro  ,99,2024/02/06,  Active ,,
C-9926,Corp_43,enterprise,$499.00,12-Aug-2024,Active,,
C-9042,Corp_44,  Pro  ,$99.00,2023/04/07,  Active ,,
C-1746,Corp_45,Basic,$99.00,2023/08/30,Churned,,
,Corp_46,Enterprise,29,2023/08/31,Churned,,
,Corp_47,Basic,499,2024/04/12,Paused,,
C-4941,Corp_48,Enterprise,99,28-Nov-2023,Paused,,
C-6740,Corp_49,enterprise,29,03-Jul-2024,  Active ,,
C-7745,Corp_50,Pro,29 USD,2023/12/30,  Active ,,
C-5230,Corp_51,enterprise,29,2023/10/16,Active,,
C-4257,Corp_52,enterprise,$29.00,2023/11/11,Paused,,
C-8256,Corp_53,  Pro  ,29,10-May-2024,Paused,,
,Corp_54,enterprise,$29.00,2023/04/06,Churned,,
C-8995,Corp_55,  Pro  ,$99.00,14-Feb-2024,Churned,,
C-9500,Corp_56,Enterprise,499,10-May-2023,  Active ,,
C-9117,Corp_57,Pro,29,23-Feb-2023,Churned,,
C-9417,Corp_58,Basic,$99.00,2023/11/19,Churned,,
C-5639,Corp_59,Pro,99,2024/08/01,  Active ,,
C-1370,Corp_60,  Pro  ,499,27-May-2024,Active,,
C-7753,Corp_61,Pro,$499.00,2023/03/11,Churned,,
C-8598,Corp_62,Pro,99,2024/04/21,Paused,,
,Corp_63,enterprise,$29.00,03-Feb-2024,Churned,,
C-9807,Corp_64,  Pro  ,$499.00,13-Nov-2024,  Active ,,
C-5458,Corp_65,Basic,29,2024/04/10,  Active ,,
C-1583,Corp_66,Pro,99,21-Dec-2023,Paused,,
C-3974,Corp_67,Pro,29,2024/07/05,Active,,
C-3108,Corp_68,Enterprise,99,2023/11/19,  Active ,,
C-1486,Corp_69,Enterprise,29,21-Sep-2023,  Active ,,
C-7726,Corp_70,Enterprise,29,06-Mar-2024,Churned,,
C-7990,Corp_71,Pro,99,16-Mar-2023,Active,,
C-8263,Corp_72,Enterprise,99,2024/11/21,Paused,,
C-7260,Corp_73,Enterprise,$29.00,2024/02/04,Paused,,
,Corp_74,enterprise,29,30-Jul-2024,Active,,
C-5877,Corp_75,Basic,499,2024/02/27,  Active ,,
C-1533,Corp_76,Pro,499,11-Jul-2023,Paused,,
C-4175,Corp_77,  Pro  ,$99.00,04-Jul-2023,Paused,,
C-6029,Corp_78,  Pro  ,29,07-Apr-2023,  Active ,,
C-6048,Corp_79,Basic,99,2024/01/24,Churned,,
C-9878,Corp_80,Enterprise,499,08-Sep-2023,Active,,
C-7703,Corp_81,enterprise,$29.00,25-Aug-2024,  Active ,,
C-4738,Corp_82,enterprise,99,15-Dec-2023,Paused,,
