Incident_ID,Raw_Log_Timestamp,Target_Server,Vector_Type,Containment_Time_Hrs
INC-00001,2025-01-05 18:55:00 [WARN],SRV-003,Insider_Threat,68
INC-00002,2025-10-17 15:28:00 [WARN],SRV-004,Zero_Day,136
INC-00003,2025-10-15 21:00:00 [WARN],SRV-007, SQL_Injection ,11
INC-00004,2025-12-15 19:25:00 [WARN],SRV-002,Ransomware,50
INC-00005,2025-10-16_19:15:00 [ERROR],SRV-003,ransomware,88
INC-00006,2025-11-14 23:04:00 [WARN],SRV-005, Brute_Force,3
INC-00007,2025-07-25 02:17:00 [WARN],SRV-003, SQL_Injection ,80
INC-00008,2025-10-25 11:38:00 [WARN],SRV-002,Ransomware,53
INC-00009,2025-04-21 00:13:00 [WARN],SRV-007,Malware_Dropper,132
INC-00010,2025-08-17_14:14:00 [ERROR],SRV-007,ransomware,41
INC-00011,2025-06-16 16:38:00 [WARN],SRV-006,Zero_Day,150
INC-00012,2025-11-14 09:55:00 [WARN],SRV-005, ddos ,82
INC-00013,2025-04-13 10:52:00 [WARN],SRV-001, Brute_Force,150
INC-00014,2025-12-26 15:42:00 [WARN],SRV-006,ransomware,47
INC-00015,2025-01-22 08:36:00 [WARN],SRV-004, SQL_Injection ,80
INC-00016,2025-07-24 17:51:00 [WARN],SRV-002,Cross_Site_Scripting,128
INC-00017,2025-12-26 10:01:00 [WARN],SRV-004,Zero_Day,27
INC-00018,2025-04-10_20:12:00 [ERROR],SRV-006, ddos ,66
INC-00019,2025-05-25 21:50:00 [WARN],SRV-007, SQL_Injection ,21
INC-00020,2025-12-22 13:40:00 [WARN],SRV-007, Brute_Force,100
INC-00021,2025-04-13 06:45:00 [WARN],SRV-003,Phishing,71
INC-00022,2025-01-20 02:29:00 [WARN],SRV-002, Brute_Force,
INC-00023,2025-09-07 15:18:00 [WARN],SRV-002,Cross_Site_Scripting,116
INC-00024,2025-04-15 12:35:00 [WARN],SRV-006,Ransomware,101
INC-00025,2025-08-13 15:46:00 [WARN],SRV-005,Malware_Dropper,62
INC-00026,2025-03-20 15:13:00 [WARN],SRV-007,insider_threat,106
INC-00027,2025-09-17 01:29:00 [WARN],SRV-005,Zero_Day,23
INC-00028,2025-03-27 14:08:00 [WARN],SRV-001, brute_force,39
INC-00029,2025-10-26 09:32:00 [WARN],SRV-003,Zero_Day,69
INC-00030,2025-02-02 10:31:00 [WARN],SRV-008,malware_dropper,6
INC-00031,2025-02-26 04:46:00 [WARN],SRV-001, SQL_Injection ,135
INC-00032,2025-09-25 14:40:00 [WARN],SRV-002, SQL_Injection ,48
INC-00033,2025-03-12_16:26:00 [ERROR],SRV-008,Phishing,113
INC-00034,2025-02-19 22:23:00 [WARN],SRV-005,Cross_Site_Scripting,120 hrs
INC-00035,2025-03-03 11:59:00 [WARN],SRV-006,Cross_Site_Scripting,78 hrs
INC-00036,2025-06-11 11:32:00 [WARN],SRV-004,Zero_Day,92 hrs
INC-00037,2025-11-25 21:26:00 [WARN],SRV-004,Ransomware,
INC-00038,2025-04-20 19:40:00 [WARN],SRV-005,insider_threat,110
INC-00039,2025-12-22 05:29:00 [WARN],SRV-002, SQL_Injection ,23
INC-00040,2025-05-29 09:31:00 [WARN],SRV-001,phishing,41
INC-00041,2025-11-25 22:15:00 [WARN],SRV-006,Phishing,97
INC-00042,2025-12-12 23:14:00 [WARN],SRV-007,Malware_Dropper,119
INC-00043,2025-09-08 02:48:00 [WARN],SRV-006, SQL_Injection ,148
INC-00044,2025-06-13 14:07:00 [WARN],SRV-001,zero_day,46
INC-00045,2025-10-05 08:11:00 [WARN],SRV-003,Insider_Threat,72
INC-00046,2025-08-03 19:21:00 [WARN],SRV-003,Phishing,80
INC-00047,2025-07-21 13:23:00 [WARN],SRV-004,cross_site_scripting,129
INC-00048,2025-06-08 21:14:00 [WARN],SRV-007,Malware_Dropper,123
INC-00049,2025-10-10 00:17:00 [WARN],SRV-007, Brute_Force,58
INC-00050,2025-08-18 01:12:00 [WARN],SRV-001, SQL_Injection ,114
INC-00051,2025-07-03 15:25:00 [WARN],SRV-005, Brute_Force,62
INC-00052,2025-08-30 15:47:00 [WARN],SRV-001,Ransomware,90
INC-00053,2025-04-12 08:18:00 [WARN],SRV-008, Brute_Force,53
INC-00054,2025-08-21 18:24:00 [WARN],SRV-003,insider_threat,7
